node,pagerank
Technology News: Digital Software Update,0.005148884809315163
Entertainment News: Performance Celebrity Update,0.005047305104121104
Politics News: Policy Reform Update,0.005043607405089123
Politics News: Reform Diplomacy Update,0.004802551826250851
Sports News: Season Player Update,0.004660569417687803
Business News: Banking Stock Update,0.0046558696268692475
Business News: Economy Profit Update,0.004566445850284893
Technology News: Hardware Network Update,0.004453873310273207
Entertainment News: Actor Concert Update,0.004372235915386469
Entertainment News: Film Music Update,0.004357178835200358
Entertainment News: Music Film Update,0.003975264874347199
Technology News: Hardware Data Update,0.003972478519844836
Entertainment News: Album Music Update,0.00393474204524286
Banking Sector Faces New Regulations,0.0039006588134750967
Sports News: Championship Victory Update,0.0038259261677167115
Technology News: Digital Hardware Update,0.0037539658342095163
Technology News: Device Startup Update,0.003734377747489707
Business News: Company Profit Update,0.0035694620773997245
Championship Final Draws Record Viewership,0.0035645437396364136
Sports News: Tournament Score Update,0.0034857591643241304
Sports News: Coach Player Update,0.003394875851598634
Politics News: Vote Policy Update,0.003393799542651713
Football Transfer Window Sees Major Deals,0.0033741374150035083
Technology News: Network Hardware Update,0.00328681645965807
Politics News: Parliament Legislation Update,0.003283099807952992
International Summit Addresses Climate Change,0.0032206921243462094
Retail Sales Show Unexpected Growth,0.003190494400447337
Entertainment News: Concert Actor Update,0.0031584133308546185
Electric Vehicle Technology Advances,0.0031440830680418584
Technology News: Network Digital Update,0.0031002867179350333
Technology News: Device Software Update,0.003094211481671277
Sports News: Player Tournament Update,0.0029846443870554925
Sports News: Score Team Update,0.0029402845969956556
Business News: Retail Stock Update,0.0025879791605290976
Oil Prices Fluctuate on Supply Concerns,0.002490490923776484
Technology News: Device Hardware Update,0.002405151340606552
Business News: Stock Investment Update,0.002398461213228777
Entertainment News: Show Music Update,0.0023137562486381484
Entertainment News: Theater Performance Update,0.002313609266557318
Entertainment News: Theater Award Update,0.002293521116154684
Entertainment News: Concert Show Update,0.001973987367584691
Election Campaign Intensifies,0.0010791366906474822
Trade Negotiations Continue Between Nations,0.0010791366906474822
